yyyy-mm-dd,Headline,Details or context,Reference URL

2017-01-30,Attorney General Sally Yates fired after declining to defend Trump's immigration ban,"Attorney General Sally Yates ordered DOJ lawyers not to defend Trump's immigration policy. In response, Trump announced that her refusal was a betrayal and had her fired. An acting Attorney General has been sworn in.",https://www.nytimes.com/2017/01/30/us/politics/trump-immigration-ban-memo.html
2017-01-30,New government regulations require removing two existing,"This Executive Order requires the removal of two regulations in order to implement one additional. As of issuance, agencies could not issue any new regulations due to a freeze put in place shortly after inaguration.",http://thehill.com/homenews/administration/316839-trump-to-sign-order-reducing-regulations
2017-01-28,Steve Bannon is now a member of Trump's National Security Council,"Counter to most Presidents, Trump has appointed Bannon---an extremely right-wing, nationalistic political advisor---to the National Security Council's Principals committee. This puts Bannon ahead of the Chairman of the Joint Chiefs of Staff and the Director of National Intelligence in decisions of National Security.",http://www.npr.org/2017/01/30/512489785/fact-check-spin-aside-trumps-national-security-council-has-a-very-big-change
2017-01-27,"US entry from seven, predominently Muslim countries, is suspended","Trump's Exeutive Order bans visa holders from Iraq, Iran, Libya, Somalia, Sudan, Syria, and Yeman from entering the United States. Including previously vetted refugees. Early reports indicate green card holders and even US citizens were detained due to the inconsistent and confusing implementation. Lawyers with the ACLU and other volunteer organizations filed emergency lawsuits resulting in stays for some provisions.",http://www.cnn.com/2017/01/28/politics/donald-trump-executive-order-immigration-reaction/index.html
2017-01-25,Sanctuary cities may now be denied Federal funds,"Executive order 13768 also provides provisions to speed up deportations. Some counties have caved and reversed their policy on detainer requests (Miami-Dade, FL) and some states are figuring out how to make up the expected funding shortfall (California)",https://www.washingtonpost.com/graphics/national/sanctuary-cities/
2017-01-25,"Trump says he wants to build a wall that Mexico pays for, GOP says they'll fund it, Mexico says they won't.","In addition to the wall, Exeutive order 13767 aims to speed up deportations and increase border patrol agents.",http://www.cnn.com/2017/01/25/politics/donald-trump-build-wall-immigration-executive-orders/
2017-01-24,"Scientists at EPA, DHS, USDA, National Parks told to stop tweeting","Agencies have been told to stop tweeting, posting on blogs, talking to the media, or otherwise externally discussing their work.",http://fortune.com/2017/01/24/trump-gag-order/
2017-01-24,Exeuctive order 13766 pushes forward the Keystone XL and Dakota Access Pipeline,Both projects had permits denied under the Obama administration. Trump is requiring them to be revisited.,http://www.cnn.com/2017/01/24/politics/trump-keystone-xl-dakota-access-pipelines-executive-actions/
2017-01-23,Trans-Pacific Partnership is formally cancelled,Trump issued a presidential memo formally withdrawing from the Trans-Pacific Partnership trade deal. The deal will not go to Congress for a vote.,http://www.cnn.com/2017/01/23/politics/trump-tpp-things-to-know/
2017-01-23,"Trump reinstates and expands the global gag rule or ""Mexico City Policy""",The policy is intended to prevent federal funding to any global health organization that provides information or referrals to abortion services. This includes organizations working on un-related health concerns (e.g. AIDS). It impacts $9.5B of federal aid.,http://www.slate.com/articles/news_and_politics/politics/2017/01/trump_s_global_gag_rule_is_even_worse_than_it_seemed.html 
2017-01-21,Trump has Press Secretary lie about inaguration crowds and tell media what to cover,This was Sean Spicer's first press briefing.,http://money.cnn.com/2017/01/21/media/sean-spicer-press-secretary-statement/
2017-01-20,"Trump issues a memo freezing all federal hiring, except the military",The intention is to replace it with a longer-term workforce reduction plan.,http://www.politico.com/agenda/story/2017/01/what-trump-hiring-freeze-means-000287
2017-01-20,Trump takes the first step toward dismantaling the Affordable Care Act,"Executive order 13765 is broad, but ambiguous. One effect is stopping all pre-paid advertising for open enrollment. No refunds and also no ads.",http://www.politico.com/story/2017/01/trump-eo-233950
2017-01-20,Donald Trump is sworn in as the 45th President of the United States,"Swears to ""preserve, protect, and defend the Constitution of the United States.""",https://en.wikipedia.org/wiki/Inauguration_of_Donald_Trump
